date,912101A,912105A,915011A,915206A,917107A
1911-10-26,40.02202,39.98901,32.9172,38.30022,33.78752
1911-10-27,37.88814,37.88437,32.03505,36.56804,31.58726
1911-10-28,34.05011,34.06284,30.32508,35.07439,30.71824
1911-10-29,32.99087,33.02551,30.05156,35.6419,30.11333
1911-10-30,33.25813,33.28983,29.97009,35.80831,30.28038
1911-10-31,31.38283,31.31796,31.14563,31.25886,30.72247
1911-11-01,33.62016,33.55888,31.24578,32.49772,32.06811
1911-11-02,36.54388,36.48631,31.68791,35.52396,32.09489
1911-11-03,33.93434,33.90768,32.03141,35.20049,31.35657
1911-11-04,37.08394,37.0774,32.12559,35.39253,32.05998
1911-11-05,33.27695,33.30295,31.47399,35.81882,30.3433
1911-11-06,33.67795,33.71117,30.93491,36.79502,30.60683
1911-11-07,33.84144,33.86186,32.14538,37.35449,31.33151
1911-11-08,34.29555,34.3354,33.86557,37.14636,33.35307
1911-11-09,36.37849,36.4319,34.76609,38.32604,33.60996
1911-11-10,37.11746,37.17298,36.26668,39.17651,34.3254
1911-11-11,37.93478,37.98771,36.36931,40.04228,34.30437
1911-11-12,36.68076,36.69278,36.27754,37.40599,33.77844
1911-11-13,38.95726,38.92915,37.6289,36.66577,35.10116
1911-11-14,38.58055,38.60547,34.91021,39.22374,33.39465
1911-11-15,37.8721,37.92495,33.27269,38.70884,32.14726
1911-11-16,33.08705,33.16995,33.47358,36.1897,33.32353
1911-11-17,35.37747,35.42007,34.19645,37.00159,33.62315
1911-11-18,36.92539,36.93768,33.6053,37.8083,33.47274
1911-11-19,33.73032,33.75909,33.45449,36.15043,33.19125
1911-11-20,35.60784,35.6337,33.06966,36.26367,32.55331
1911-11-21,35.79444,35.77573,31.91017,35.74535,31.3612
1911-11-22,33.29394,33.28385,31.54324,33.89659,33.6104
1911-11-23,35.03971,35.02283,34.0745,35.94323,33.96664
1911-11-24,35.72813,35.72071,34.54695,36.4097,34.33156
1911-11-25,34.60792,34.60187,32.31834,33.9452,30.81991
1911-11-26,33.92011,33.94256,32.9688,34.30895,31.20681
1911-11-27,31.9321,31.93845,29.69306,31.97275,30.89494
1911-11-28,33.13828,33.16795,27.30347,32.05344,27.88985
1911-11-29,33.71467,33.72496,30.80456,32.89233,30.50491
1911-11-30,33.69321,33.72414,34.04999,34.69992,32.23649
1911-12-01,35.35504,35.39498,33.16131,36.24117,32.27194
1911-12-02,36.36683,36.36557,33.98692,35.64439,32.22883
1911-12-03,36.02966,36.03074,36.23327,36.55919,33.67953
1911-12-04,34.03699,34.04133,34.25627,34.96691,32.36463
1911-12-05,33.22418,33.19986,33.57766,33.50932,32.9044
1911-12-06,35.95675,35.9449,36.20843,36.04781,34.52408
1911-12-07,39.58134,39.56156,36.33391,39.10731,34.56436
1911-12-08,37.02852,37.06265,35.20784,38.96493,33.82862
1911-12-09,36.88793,36.94698,34.64579,38.35634,31.60475
1911-12-10,35.76839,35.83132,33.85095,37.26941,32.95341
1911-12-11,33.65597,33.71102,33.56824,37.20601,33.11316
1911-12-12,35.45362,35.49526,34.81583,37.35179,33.79687
1911-12-13,36.14495,36.1606,35.13859,35.84427,34.11124
1911-12-14,37.55845,37.54235,36.10305,38.25547,34.86115
1911-12-15,35.40658,35.43199,36.03788,37.80831,32.74453
1911-12-16,37.0194,36.9909,34.16054,36.38213,33.01961
1911-12-17,37.13961,37.09928,35.11571,36.39399,34.23566
1911-12-18,37.35854,37.3479,35.04593,37.0943,34.13612
1911-12-19,39.14692,39.13996,34.54974,39.55247,33.11664
1911-12-20,36.90419,36.94989,35.72584,38.53522,33.42298
